symbol,timestamp,open,high,low,close,SMA_50
BTCUSDT,2025-02-17,96071.02,97039.67,95565.83,95661.47,95537.51989283394
BTCUSDT,2025-02-17,96064.43,96404.61,95933.06,96071.02,95560.52805067817
BTCUSDT,2025-02-17,96211.67,96465.48,95798.51,96064.43,95582.17507021263
BTCUSDT,2025-02-17,96110.19,96635.08,96026.57,96211.67,95609.11656769695
BTCUSDT,2025-02-16,97055.01,97279.46,96044.82,96110.19,95630.4852437599
BTCUSDT,2025-02-16,96907.36,97169.93,96638.72,97055.01,95691.02757095876
BTCUSDT,2025-02-16,97338.46,97339.88,96677,96907.36,95742.55249566559
BTCUSDT,2025-02-16,97251.85,97393.33,97056.79,97338.46,95809.94459661903
BTCUSDT,2025-02-16,97550.54,97683.22,97209.33,97251.85,95870.65061528907
BTCUSDT,2025-02-16,97576.52,97709.8,97417.99,97550.54,95941.172561345
BTCUSDT,2025-02-15,97535.9,97744.61,97409.87,97576.52,96009.63537106093
BTCUSDT,2025-02-15,97636.9,97717.53,97319.36,97535.9,96073.36270206879
BTCUSDT,2025-02-15,97621.97,97949.89,97429.9,97636.9,96138.48103122937
BTCUSDT,2025-02-15,97344.41,97731.89,97302.86,97621.97,96200.11558143597
BTCUSDT,2025-02-15,97659.65,97787.72,97344.41,97344.41,96247.54702921335
BTCUSDT,2025-02-15,97503.45,97969.92,97223.34,97659.65,96305.94873502324
BTCUSDT,2025-02-14,97947.7,98266.76,96698.55,97503.45,96355.36907873822
BTCUSDT,2025-02-14,96932.52,98834.05,96492.81,97947.7,96420.94917359737
BTCUSDT,2025-02-14,96886.95,97576.18,96275.47,96932.52,96441.9767914298
BTCUSDT,2025-02-14,96944.18,97199.04,96800.75,96886.95,96460.23250650597
BTCUSDT,2025-02-14,97141.52,97245.95,96567.62,96944.18,96480.05131285166
BTCUSDT,2025-02-14,96609.56,97196.32,96375.22,97141.52,96507.0930727821
BTCUSDT,2025-02-13,95631.63,96773.5,95598.93,96609.56,96511.275097265
BTCUSDT,2025-02-13,95995.28,96370.33,95221.6,95631.63,96475.43105202385
BTCUSDT,2025-02-13,95927.94,96479.64,95340.25,95995.28,96455.89565160222
BTCUSDT,2025-02-13,96072.57,96339.81,95596.39,95927.94,96434.44681115435
BTCUSDT,2025-02-13,97503.66,97563.82,95809.1,96072.57,96419.76583354364
BTCUSDT,2025-02-13,97869.03,98085.89,97370.37,97503.66,96463.67889994981
BTCUSDT,2025-02-12,97204.04,98115.44,96848.84,97869.03,96520.54169031046
BTCUSDT,2025-02-12,95803.16,97702.76,95121.19,97204.04,96548.1627290235
BTCUSDT,2025-02-12,96096.5,96622.75,94081.8,95803.16,96518.09217030235
BTCUSDT,2025-02-12,96073.25,96470.06,95908.93,96096.5,96501.09493931949
BTCUSDT,2025-02-12,95301.43,96183.42,95267.2,96073.25,96483.86458885156
BTCUSDT,2025-02-12,95782.03,96268.18,95105.52,95301.43,96436.29535613238
BTCUSDT,2025-02-11,95042.24,96511.18,94930.62,95782.03,96410.00099043007
BTCUSDT,2025-02-11,97018.78,97049.04,94873.71,95042.24,96355.08530294016
BTCUSDT,2025-02-11,98146.1,98157.65,96596.6,97018.78,96381.70781024994
BTCUSDT,2025-02-11,98270.88,98338.79,97884.18,98146.1,96452.41871467738
BTCUSDT,2025-02-11,97616.35,98485.34,97563.29,98270.88,96525.23383639853
BTCUSDT,2025-02-11,97433.17,98144.58,97420.59,97616.35,96568.88840733698
BTCUSDT,2025-02-10,97383.56,97497.74,97133.61,97433.17,96603.44011858231
BTCUSDT,2025-02-10,97225.53,97656.42,96871.58,97383.56,96634.60352846373
BTCUSDT,2025-02-10,97665.63,98354.1,96867.11,97225.53,96658.19198927881
BTCUSDT,2025-02-10,97429.99,97962.23,97357.81,97665.63,96698.37844373717
BTCUSDT,2025-02-10,96810.35,97646.47,96629.31,97429.99,96727.54259015841
BTCUSDT,2025-02-10,96464.51,97133.47,95255.68,96810.35,96730.8413973313
BTCUSDT,2025-02-09,96063.31,96753.92,94714.23,96464.51,96720.23811551927
BTCUSDT,2025-02-09,96488.41,96573.86,95895.29,96063.31,96694.09985209472
BTCUSDT,2025-02-09,96556.21,96706.84,95711.78,96488.41,96685.92042292186
BTCUSDT,2025-02-09,97063.1,97295.43,96540.14,96556.21,96680.76521550247
BTCUSDT,2025-02-09,97307.79,97323.37,96777.49,97063.1,96695.95269515102
BTCUSDT,2025-02-09,96449.27,97309.11,96364.36,97307.79,96720.2443772302
BTCUSDT,2025-02-08,96587.78,96710.77,96357.99,96449.27,96709.49116188481
BTCUSDT,2025-02-08,95845.52,96751.1,95747.03,96587.78,96704.66349386857
BTCUSDT,2025-02-08,96124.5,96502.14,95689.08,95845.52,96670.60090735786
BTCUSDT,2025-02-08,96205.98,96293.92,95866.43,96124.5,96648.95890323237
BTCUSDT,2025-02-08,96696.66,96696.67,95784.76,96205.98,96631.41090006998
BTCUSDT,2025-02-08,96502.31,96881.68,96336.96,96696.66,96633.99462570707
BTCUSDT,2025-02-07,96901.25,96942.71,95621.48,96502.31,96628.7821866219
BTCUSDT,2025-02-07,98291.19,98573.43,96878.57,96901.25,96639.56325356403
BTCUSDT,2025-02-07,97756.62,100140.06,97188.77,98291.19,96704.89215664049
BTCUSDT,2025-02-07,96746.08,97760.18,96612.34,97756.62,96746.47841112813
BTCUSDT,2025-02-07,97451.68,97868.32,96575.53,96746.08,96746.46266271916
BTCUSDT,2025-02-07,96553.22,97805.04,96406.47,97451.68,96774.32981397328
BTCUSDT,2025-02-06,95988.66,97082.11,95802.21,96553.22,96765.59512707373
BTCUSDT,2025-02-06,97335.21,97543.93,95680.32,95988.66,96734.91204693973
BTCUSDT,2025-02-06,98873.87,99043.9,96931.57,97335.21,96758.61273063606
BTCUSDT,2025-02-06,98201.58,99129.43,97922.27,98873.87,96842.1041352589
BTCUSDT,2025-02-06,97353.74,98436.14,97278.61,98201.58,96895.75036293689
BTCUSDT,2025-02-06,96610.83,97499.69,96434.93,97353.74,96913.81864361548
BTCUSDT,2025-02-05,97372.49,97711.45,96156.71,96610.83,96901.86816717885
BTCUSDT,2025-02-05,98114.66,98286.11,96495.95,97372.49,96920.42623111026
BTCUSDT,2025-02-05,98211.85,99154.98,97763.43,98114.66,96967.5083006593
BTCUSDT,2025-02-05,97866.33,98230.47,97272.39,98211.85,97016.55560856161
